timestamp,backend,model,trial,prompt_tokens,gen_tokens,prompt_time_s,gen_time_s,tokens_per_sec,peak_memory_gb,notes
2026-07-19T15:27:18,ollama,qwen3.5:27b,1,29,158,0.679297,12.792157,12.351318077162437,,wall_clock=19.99s
2026-07-19T15:27:38,ollama,qwen3.5:27b,2,29,138,0.318796,11.166187,12.35873982766006,,wall_clock=11.66s
2026-07-19T15:27:50,ollama,qwen3.5:27b,3,29,164,0.319362,13.291804,12.338430509507964,,wall_clock=13.78s
2026-07-19T15:28:03,ollama,qwen3.5:27b,4,29,112,0.318971,9.066968,12.352530636481788,,wall_clock=9.56s
2026-07-19T15:28:13,ollama,qwen3.5:27b,5,29,149,0.318672,12.241256,12.171953596918486,,wall_clock=12.73s
2026-07-19T15:28:26,mlx-lm,mlx-community/Qwen3.5-27B-4bit,1,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:27,mlx-lm,mlx-community/Qwen3.5-27B-4bit,2,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:28,mlx-lm,mlx-community/Qwen3.5-27B-4bit,3,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:29,mlx-lm,mlx-community/Qwen3.5-27B-4bit,4,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:30,mlx-lm,mlx-community/Qwen3.5-27B-4bit,5,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:31,mlx-lm,mlx-community/Qwen3.5-27B-5bit,1,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:32,mlx-lm,mlx-community/Qwen3.5-27B-5bit,2,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:33,mlx-lm,mlx-community/Qwen3.5-27B-5bit,3,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:34,mlx-lm,mlx-community/Qwen3.5-27B-5bit,4,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
2026-07-19T15:28:35,mlx-lm,mlx-community/Qwen3.5-27B-5bit,5,,,,,,,"FAILED_RuntimeError:mlx_lm.generate が異常終了 (rc=1):
 load
    model, config = load_model(model_path, lazy, model_config=model_config)
  File ""/Users/shabelab/Desktop/paper-20260718/experiment/.venv-mlx/lib/python3.9/site-p"
